bnf_chemical_substance,bnf_chapter,bnf_name,bnf_code,drug,form,dose,misc1,combination
Flavoxate Hydrochloride,8,8,8,8,8,8,0,8
Flecainide Acetate,48,48,48,48,48,47,0,48
Flosequinan,5,5,5,5,5,5,0,5
Floxuridine,3,3,3,3,3,2,0,3
Flubiprofen,2,2,2,2,2,2,0,2
Fluclorolone Acetonide,4,4,4,4,4,4,0,4
Flucloxacillin Magnesium,12,12,12,12,12,12,0,12
Flucloxacillin Sodium,45,45,45,45,45,43,0,45
Fluconazole,30,30,30,30,30,30,0,30
Flucytosine,3,3,3,3,3,3,0,3
Fludarabine Phosphate,6,6,6,6,6,6,0,6
Fludrocortisone Acetate,63,63,63,63,63,60,0,63
Fludroxycortide,20,20,20,20,20,17,0,20
Flufenamic Acid,2,2,2,2,2,2,0,2
Fluindione,2,2,2,2,2,2,0,2
Flumazenil,2,2,2,2,2,2,0,2
Flumetasone Pivalate,2,2,2,2,2,1,0,2
Flunarizine Dihydroch,11,11,11,11,9,10,0,11
Flunisolide,5,5,5,5,5,5,0,5
Flunitrazepam,2,2,2,2,2,2,0,2
Fluocinolone Acetonide,35,35,35,35,35,26,0,35
Fluocinonide,14,14,14,14,14,5,0,14
Fluocortolone,14,14,14,14,14,0,0,14
Fluorescein Sodium,13,13,13,13,13,11,0,13
Fluorometholone,9,9,9,9,9,7,0,9
Fluorouracil,2,2,2,2,2,1,0,2
Fluorouracil (Antimetabolites),36,36,36,36,36,33,0,36
Fluorouracil (Sunscreen),4,4,4,4,4,3,0,4
Fluorouracil/Glucose,2,2,2,2,2,2,0,2
Fluoxetine Hydrochloride,25,25,25,25,25,25,0,25
Fluoxymesterone,4,4,4,4,4,4,0,4
Flupentixol Decanoate,23,23,23,23,23,23,0,23
Flupentixol Hydrochloride,12,12,12,12,12,12,0,12
Fluphenazine Decanoate,20,20,20,20,20,20,0,20
Fluphenazine Enantate,2,2,2,2,2,2,0,2
Fluphenazine Hydrochloride,8,8,8,8,8,8,0,8
Fluprednidene Acetate,2,2,2,2,2,2,0,2
Flurazepam Hydrochloride,6,6,6,6,6,6,0,6
Flurbiprofen,12,12,12,12,12,12,0,12
Flurbiprofen Sodium,5,5,5,5,5,5,0,5
Fluspirilene,10,10,10,10,10,10,0,10
Flutamide,3,3,3,3,3,3,0,3
Fluticasone Furoate,2,2,2,2,2,2,0,2
Fluticasone Furoate (Inh),5,5,5,5,5,5,0,5
Fluticasone Prop/Azelastine HCl (Nsl),2,2,2,2,2,2,0,2
Fluticasone Propionate (Inh),93,93,93,93,93,90,0,93
Fluticasone Propionate (Nsl),15,15,15,15,15,15,0,15
Fluticasone Propionate (Top),4,4,4,4,4,4,0,4
Flutrimazole,2,2,2,2,2,2,0,2
Fluvastatin Sodium,14,14,14,14,14,14,0,14
Fluvoxamine Maleate,8,8,8,8,8,8,0,8
Folic Acid,131,131,131,131,131,129,0,131
Folinic Acid,3,3,3,3,3,3,0,3
Follitropin Alfa,40,40,40,40,40,40,0,40
Follitropin Alfa & Lutropin Alfa,2,2,2,2,2,2,0,2
Follitropin Beta,20,20,20,20,20,20,0,20
Follitropin Delta,12,12,12,12,12,12,0,12
Fondaparinux Sodium,10,10,10,10,10,10,0,10
Formaldehyde,36,36,36,36,36,34,0,36
Formestane,2,2,2,2,2,2,0,2
Formoterol Fumarate,10,10,10,10,9,10,0,10
Fosamprenavir Calcium,4,4,4,4,4,4,0,4
Fosaprepitant,4,4,4,4,4,4,0,4
Foscarnet Sodium,6,6,6,6,6,6,0,6
Foscarnet Sodium With Glucose,1,1,1,1,1,1,0,1
Foscarnet Sodium With Sodium Chloride,2,2,2,2,2,2,0,2
Fosfestrol Tetrasodium,8,8,8,8,8,8,0,8
Fosfomycin Calcium,2,2,2,2,2,2,0,2
Fosfomycin Trometamol,9,9,9,9,9,9,0,9
Fosinopril Sodium,7,7,7,7,7,7,0,7
Fosphenytoin Sodium,2,2,2,2,2,2,0,2
Framycetin Sulfate,21,21,21,21,21,18,0,21
Framycetin Sulphate,2,2,2,2,2,0,0,2
Freeze Sprays & Gels,11,11,11,11,11,7,0,11
Fremanezumab,2,2,2,2,2,2,0,2
Frovatriptan,3,3,3,3,3,3,0,3
Fructose,5,5,5,5,5,0,0,5
Fuller's Earth,4,4,4,4,4,0,0,4
Fulvestrant,2,2,2,2,2,2,0,2
Fumaric Acid,1,1,1,1,1,1,0,1
Furazolidone,4,4,4,4,4,4,0,4
Furosemide,137,137,137,137,137,135,0,137
Furosemide/Potassium,6,6,6,6,6,3,0,6
Fursultiamine,2,2,2,2,2,2,0,2
Fusafungine,4,4,4,4,4,4,0,4
Fusidic Acid,11,11,11,11,10,11,0,11
G/F /W/F /L/P Cooking Aids,2,2,2,2,2,0,0,2
Gabapentin,39,39,39,39,39,37,0,39
Gabapentin (Neuropathic Pain),2,2,2,2,2,2,0,2
Galantamine,49,49,49,49,49,49,0,49
Galcanezumab,2,2,2,2,2,2,0,2
Gallamine Triethiodide,2,2,2,2,2,2,0,2
Galsulfase,2,2,2,2,2,2,0,2
Gamma Benzene Hexachloride,1,1,1,1,1,0,0,1
Gamolenic Acid,51,51,51,51,51,43,0,51
Ganciclovir,9,9,9,9,9,9,0,9
Ganciclovir With Sodium Chloride,17,17,17,17,17,17,0,17
Ganirelix,2,2,2,2,2,2,0,2
Gatifloxacin,1,1,1,1,1,1,0,1
Gefitinib,2,2,2,2,2,2,0,2
Gelatin,15,15,15,15,15,15,0,15
Gemcitabine,16,16,16,16,16,16,0,16
Gemeprost,3,3,3,3,3,3,0,3
Gemfibrozil,5,5,5,5,5,5,0,5
Gentamicin Sulfate,72,72,72,72,71,67,0,72
Gentamicin Sulfate With Sodium Chloride,2,2,2,2,2,2,0,2
Gentamicin Sulphate,1,1,1,1,1,1,0,1
Gentian,5,5,5,5,5,0,0,5
Gestonorone Hexanoate,3,3,3,3,3,3,0,3
Gestrinone,2,2,2,2,2,2,0,2
Ginger,12,12,12,12,12,10,0,12
Glacial Acetic Acid,4,4,4,4,4,1,0,4
Glatiramer Acetate,8,8,8,8,8,8,0,8
Glecaprevir/Pibrentasvir,2,2,2,2,2,2,0,2
Glibenclamide,41,41,41,41,41,40,0,41
Glibornuride,2,2,2,2,2,2,0,2
Gliclazide,41,41,41,41,41,40,0,41
Glimepiride,16,16,16,16,16,16,0,16
Glipizide,5,5,5,5,5,5,0,5
Gliquidone,2,2,2,2,2,2,0,2
Glucagon,10,10,10,10,10,9,0,10
Glucosamine Hydrochloride (Rheumatic),58,58,58,58,58,53,0,58
Glucosamine Sulf (Rheumatic),3,3,3,3,3,3,0,3
Glucose,314,314,314,314,229,249,0,314
Glucose & Ketone Blood Testing Reagents,1,1,1,1,1,0,0,1
Glucose Blood Testing Reagents,116,116,116,116,116,0,0,116
Glucose/Glycerol,13,13,13,13,13,13,0,13
Glutamic Acid Hydrochloride,3,3,3,3,3,2,0,3
Glutaraldehyde,16,16,16,16,16,14,0,16
Gluten Free Biscuits,117,117,117,117,117,0,0,117
Gluten Free Bread,130,130,130,130,130,0,0,130
Gluten Free Cakes/Pastries,96,96,96,96,96,0,0,96
Gluten Free Cereals,11,11,11,11,11,0,0,11
Gluten Free Cooking Aids,21,21,21,21,21,1,0,21
Gluten Free Grains/Flours,34,34,34,34,34,0,0,34
Gluten Free Mixes,50,50,50,50,50,3,0,50
Gluten Free Pasta,45,45,45,45,45,0,0,45
Gluten Free/Low Protein Biscuits,41,41,41,41,41,0,0,41
Gluten Free/Low Protein Bread,27,27,27,27,27,0,0,27
Gluten Free/Low Protein Cakes/Pastries,7,7,7,7,7,0,0,7
Gluten Free/Low Protein Cereals,7,7,7,7,7,2,0,7
Gluten Free/Low Protein Cooking Aids,11,11,11,11,11,0,0,11
Gluten Free/Low Protein Grains/Flours,20,20,20,20,20,3,0,20
Gluten Free/Low Protein Meals,8,8,8,8,8,0,0,8
Gluten Free/Low Protein Mixes,18,18,18,18,18,1,0,18
Gluten Free/Low Protein Pasta,68,68,68,68,68,0,0,68
Gluten Free/Low Protein Sweet/Savoury,3,3,3,3,3,0,0,3
Gluten Free/Wheat Free Biscuits,175,175,175,175,175,0,0,175
Gluten Free/Wheat Free Bread,148,148,148,148,148,0,0,148
Gluten Free/Wheat Free Cakes/Pastries,98,98,98,98,98,0,0,98
Gluten Free/Wheat Free Cereals,31,31,31,31,31,0,0,31
Gluten Free/Wheat Free Cooking Aids,24,24,24,24,24,0,0,24
Gluten Free/Wheat Free Grains/Flours,44,44,44,44,44,0,0,44
Gluten Free/Wheat Free Meals,17,17,17,17,17,3,0,17
Gluten Free/Wheat Free Mixes,92,92,92,92,92,0,0,92
Gluten Free/Wheat Free Pasta,175,175,175,175,175,0,0,175
Gluten Free/Wheat Free Snacks,4,4,4,4,4,0,0,4
Gluten Free/Wheat Free Sweet/Savoury,7,7,7,7,7,0,0,7
Gluten Free/Wheat Free/Low Protein Bisc,5,5,5,5,5,0,0,5
Gluten Free/Wheat Free/Low Protein Mixes,2,2,2,2,2,0,0,2
Gluten Free/Wheat Free/Low Protein Pasta,3,3,3,3,3,0,0,3
Glycerol,87,87,87,87,87,20,0,87
Glyceryl Trinitrate,128,128,128,128,128,116,0,128
Glycopyrronium Bromide,94,94,94,94,94,76,0,94
Glymidine,4,4,4,4,4,4,0,4
Golimumab,6,6,6,6,6,6,0,6
Gonadorelin,13,13,13,13,13,13,0,13
Gonadorelin Acetate,2,2,2,2,2,2,0,2
Goserelin Acetate,5,5,5,5,5,5,0,5
Granisetron,2,2,2,2,2,1,0,2
Granisetron Hydrochloride,12,12,12,12,12,12,0,12
Grepafloxacin Hydrochloride,4,4,4,4,4,4,0,4
Gripe Mixtures,5,5,5,5,5,0,0,5
Griseofulvin,84,84,84,84,84,83,0,84
Guaiacol & Codeine,2,2,2,2,2,1,0,2
Guaifenesin,75,75,75,75,74,42,0,75
Guanethidine Monosulfate,31,31,31,31,31,17,0,31
Guanfacine,8,8,8,8,8,8,0,8
Guanfacine Hydrochloride,7,7,7,7,7,7,0,7
Guanidine Hydrochloride,2,2,2,2,2,2,0,2
Guar Gum,10,10,10,10,10,6,0,10
Guselkumab (Psoriasis),4,4,4,4,4,4,0,4
Haem Arginate,2,2,2,2,2,2,0,2
"Haemoph Influenzae/Dip,Tet,Pert,Polio",2,2,2,2,2,0,0,2
Haemophilus Influenzae B/Meningococcal C,2,2,2,2,2,1,0,2
Haemophilus Influenzae Vaccine,8,8,8,8,8,8,0,8
"Haemophilus Influenzae/Dip,Tet,Pert Vac",8,8,8,8,8,4,0,8
Haemostatic Sprays,2,2,2,2,2,2,0,2
Halcinonide,2,2,2,2,2,2,0,2
Halibut Liver Oil,17,17,17,17,17,1,0,17
Halofantrine Hydrochloride,2,2,2,2,2,2,0,2
Halogenated Phenols + Phenol,2,2,2,2,2,0,0,2
Haloperidol,77,77,77,77,77,76,0,77
Haloperidol Decanoate,4,4,4,4,4,4,0,4
Haloprogin,2,2,2,2,2,2,0,2
Halothane,3,3,3,3,2,0,0,3
Halquinol,6,6,6,6,6,5,0,6
Hamamalis,6,6,6,6,6,1,0,6
Hamamelis,16,16,16,16,16,8,0,16
Heat Treated Human Factor IX,2,2,2,2,2,2,0,2
Helicobacter Pylori Eradication Therapy,4,4,4,4,4,0,0,4
Heparin Calcium,21,21,21,21,19,17,0,21
Heparin Flushes,15,15,15,15,15,14,0,15
Heparin Sodium,77,77,77,77,76,77,0,77
Heparin Sodium (Eye),1,1,1,1,1,0,0,1
Heparinoid,18,18,18,18,18,8,0,18
Hepatitis A,23,23,23,23,23,23,0,23
Hepatitis A/Hepatitis B,7,7,7,7,7,7,0,7
Hepatitis A/Typhoid Vaccine,4,4,4,4,4,4,0,4
Hepatitis B,27,27,27,27,27,27,0,27
Hepatitis B Immunoglobulin,4,4,4,4,4,4,0,4
Hetastarch,2,2,2,2,2,2,0,2
Hexachlorophene,6,6,6,6,6,1,0,6
Hexamidine,1,1,1,1,1,1,0,1
Hexetidine,4,4,4,4,4,3,0,4
Hexylresorcinol,19,19,19,19,19,4,0,19
Hexylresorcinol & Benzalkonium Chloride,5,5,5,5,5,1,0,5
Higher Folic Acid Content,5,5,5,5,5,2,0,5
Histamine Dihydrocloride,2,2,2,2,2,2,0,2
Histrelin Acetate,2,2,2,2,2,2,0,2
Homatropine Hydrobromide,11,11,11,11,11,11,0,11
"HumPapvirus(T-6,11,16,18,31,33,45,52,58)",2,2,2,2,2,2,0,2
Human Fibrinogen with Human Thrombin,2,2,2,2,2,2,0,2
"Human Papillomavirus (Type 16,18)",2,2,2,2,2,2,0,2
"Human Papillomavirus (Type 6,11,16,18)",2,2,2,2,2,2,0,2
Hyaluronic Acid Sodium,2,2,2,2,2,2,0,2
Hyaluronidase,9,9,9,9,9,9,0,9
Hydralazine Hydrochloride,58,58,58,58,58,56,0,58
Hydrargaphen,6,6,6,6,6,5,0,6
Hydrazine Sulfate,1,1,1,1,1,1,0,1
Hydrochlorothiazide,29,29,29,29,29,28,0,29
Hydrochlorothiazide/Potassium,4,4,4,4,4,2,0,4
Hydrocort Sod Phos,2,2,2,2,2,2,0,2
Hydrocortisone,328,328,328,328,325,251,0,328
Hydrocortisone (Sodium Succinate),7,7,7,7,7,7,0,7
Hydrocortisone Acetate,86,86,86,86,86,60,0,86
Hydrocortisone Butyrate,19,19,19,19,19,15,0,19
Hydrocortisone Cipionate,4,4,4,4,4,4,0,4
Hydrocortisone Sodium Phosphate,5,5,5,5,5,5,0,5
Hydrocortisone Sodium Succinate,14,14,14,14,14,13,0,14
Hydroflumethiazide,3,3,3,3,3,3,0,3
Hydrogen Peroxide,43,43,43,43,43,40,0,43
Hydromorphone Hydrochloride,26,26,26,26,26,26,0,26
Hydrotalcite,7,7,7,7,7,7,0,7
Hydroxocobalamin,18,18,18,18,18,16,0,18
Hydroxyapatite,9,9,9,9,9,8,0,9
Hydroxycarbamide,12,12,12,12,12,12,0,12
Hydroxychloroquine Sulfate,38,38,38,38,38,37,0,38
Hydroxyethylrutosides,2,2,2,2,2,2,0,2
Hydroxyprogesterone Caproate,4,4,4,4,4,4,0,4
Hydroxyquinoline,4,4,4,4,4,4,0,4
Hydroxyzine Embonate,2,2,2,2,2,2,0,2
Hydroxyzine Hydrochloride,18,18,18,18,18,18,0,18
Hyetellose,5,5,5,5,5,3,0,5
Hyoscine,9,9,9,9,9,9,0,9
Hyoscine Butylbromide,21,21,21,21,21,21,0,21
Hyoscine Hydrobromide,63,63,63,63,63,57,0,63
Hyoscyamine Sulfate,6,6,6,6,6,6,0,6
Hypromellose,67,67,67,67,67,63,0,67
Hypromellose With Phenylephrine,2,2,2,2,2,2,0,2
Hyroxyamfetamine Hydrobromide,1,1,1,1,1,1,0,1
INR Blood Testing Reagents,7,7,7,7,7,0,0,7
Ibandronic Acid,14,14,14,14,14,14,0,14
Ibrutinib,10,10,10,10,10,10,0,10
Ibuprofen,258,258,258,258,258,238,0,258
Ibuprofen Lysine,14,14,14,14,14,14,0,14
Ibuprofen Sodium Dihydrate,8,8,8,8,8,8,0,8
Ibuprofen/Pseudoephed HCl,5,5,5,5,5,3,0,5
Icatibant Acetate,2,2,2,2,2,2,0,2
Ichthammol,27,27,27,27,23,11,0,27
Idarubicin Hydrochloride,12,12,12,12,12,12,0,12
Idarucizumab,2,2,2,2,2,2,0,2
Idebenone,4,4,4,4,4,4,0,4
Idoxuridine,12,12,12,12,12,11,0,12
Idoxuridine In Dimethyl Sulfoxide,9,9,9,9,9,6,0,9
Ifenprodil Tartrate,1,1,1,1,1,1,0,1
Ifosfamide,6,6,6,6,6,6,0,6
Iloprost,8,8,8,8,8,8,0,8
Imatinib Mesilate,9,9,9,9,9,9,0,9
Imidapril Hydrochloride,6,6,6,6,6,6,0,6
Imiglucerase,4,4,4,4,4,4,0,4
Imipenem With Cilastatin,8,8,8,8,8,8,0,8
Imipramine Hydrochloride,23,23,23,23,23,23,0,23
Imiquimod,5,5,5,5,5,5,0,5
Indacaterol Maleate,4,4,4,4,4,4,0,4
Indacaterol/Glycopyrronium,2,2,2,2,2,0,0,2
Indapamide,22,22,22,22,22,22,0,22
Indinavir,8,8,8,8,8,8,0,8
Indometacin,77,77,77,77,77,77,0,77
Indoramin,7,7,7,7,7,7,0,7
Infliximab,6,6,6,6,6,6,0,6
Influenza,46,46,46,46,46,45,0,46
"Influenza H1N1(Split viron,inact,adjuv)",2,2,2,2,2,0,0,2
"Influenza H1N1(Whole viron,vero,inact)",2,2,2,2,2,0,0,2
Ingenol Mebutate,4,4,4,4,4,4,0,4
Inosine Pranobex,2,2,2,2,2,2,0,2
Inotuzumab,2,2,2,2,2,2,0,2
Ins Degludec/Liraglutide,2,2,2,2,1,2,0,2
Insulin Aspart,13,13,13,13,13,13,0,13
Insulin Degludec,6,6,6,6,3,6,0,6
Insulin Detemir,5,5,5,5,4,5,0,5
Insulin Glargine,16,16,16,16,7,16,0,16
Insulin Glargine/Lixisenatide,4,4,4,4,4,4,0,4
Insulin Glulisine,8,8,8,8,2,8,0,8
Insulin Human,10,10,10,10,8,10,0,10
Insulin Human Inhaled,4,4,4,4,4,4,0,4
Insulin Lispro,15,15,15,15,11,14,0,15
Insulin Zinc Suspension,16,16,16,16,6,15,0,16
Insulin Zinc Suspension (Amorphous),2,2,2,2,1,2,0,2
Insulin Zinc Suspension (Crystalline),6,6,6,6,3,6,0,6
Interferon Alpha,69,69,69,69,69,65,0,69
Interferon Beta,32,32,32,32,31,28,0,32
Interferon Gamma,2,2,2,2,2,2,0,2
Intravenous Nutrition Supplements,19,19,19,19,19,15,0,19
Iodine,17,17,17,17,17,1,0,17
Iodine & Methyl Salicylate,3,3,3,3,3,1,0,3
Iodine Compounds,40,40,40,40,40,36,0,40
Iodoform,1,1,1,1,1,0,0,1
Ipecacuanha,13,13,13,13,13,3,0,13
Ipilimumab,4,4,4,4,4,4,0,4
Ipratropium Bromide,36,36,36,36,34,35,0,36
Iprindole,4,4,4,4,4,4,0,4
Iproniazid,4,4,4,4,4,4,0,4
Irbesartan,25,25,25,25,25,25,0,25
Irbesartan with Diuretic,6,6,6,6,6,6,0,6
Irinotecan Hydrochloride,9,9,9,9,9,9,0,9
Iron & Folic Acid,31,31,31,31,31,14,0,31
Iron Carboxymaltose,6,6,6,6,6,5,0,6
Iron Dextran,12,12,12,12,12,12,0,12
Iron Phosphate,2,2,2,2,2,0,0,2
Iron Polymaltose,2,2,2,2,2,2,0,2
Iron Sorbitol,2,2,2,2,2,2,0,2
Iron Sucrose,6,6,6,6,6,6,0,6
Isavuconazole,2,2,2,2,2,2,0,2
Isoaminile Citrate,2,2,2,2,2,1,0,2
Isocarboxazid,4,4,4,4,4,3,0,4
Isoconazole Nit & Corticosteroid Prep's,1,1,1,1,1,0,0,1
Isoconazole Nitrate,4,4,4,4,4,4,0,4
Isoetarine Hydrochloride,2,2,2,2,2,2,0,2
Isoetharine Mesylate,1,1,1,1,1,0,0,1
Isoflurane,4,4,4,4,4,0,0,4
Isometheptene Mucate,2,2,2,2,2,2,0,2
Isoniazid,83,83,83,83,83,82,0,83
Isophane Insulin,53,53,53,53,27,43,0,53
Isoprenaline Hydrochloride,24,24,24,24,24,12,0,24
Isoprenaline Sulfate,17,17,17,17,17,15,0,17
Isopropyl Alcohol,16,16,16,16,12,12,0,16
Isosorbide,4,4,4,4,4,3,0,4
Isosorbide Dinitrate,64,64,64,64,64,63,0,64
Isosorbide Mononitrate,117,117,117,117,117,114,0,117
Isosorbide Mononitrate with Aspirin,4,4,4,4,4,2,0,4
Isotretinoin,10,10,10,10,10,10,0,10
Isoxsuprine Hydrochloride,7,7,7,7,7,7,0,7
Ispaghula Husk,47,47,47,47,47,37,0,47
Isradipine,2,2,2,2,2,2,0,2
Itraconazole,8,8,8,8,8,7,0,8
Ivabradine,5,5,5,5,5,5,0,5
Ivacaftor,6,6,6,6,6,6,0,6
Ivermectin,8,8,8,8,8,8,0,8
Ixazomib,6,6,6,6,6,6,0,6
Ixekizumab,4,4,4,4,4,4,0,4
Japanese Encephalitis Vaccine,1,1,1,1,1,0,0,1
Japanese Encephalitis Vaccine (Imported),6,6,6,6,6,6,0,6
"Japanese Encephalitis Vaccine (inact,ad)",2,2,2,2,2,2,0,2
Kallidinogenase,2,2,2,2,2,2,0,2
Kanamycin,5,5,5,5,5,5,0,5
Kaolin Heavy,4,4,4,4,4,0,0,4
Kaolin Light,19,19,19,19,19,6,0,19
Ketamine,14,14,14,14,14,14,0,14
Ketamine Hydrochloride,17,17,17,17,17,16,0,17
Ketanserin,6,6,6,6,6,6,0,6
Ketazolam,2,2,2,2,2,2,0,2
Ketoconazole,26,26,26,26,26,26,0,26
Ketone Blood Testing Reagents,9,9,9,9,9,0,0,9
Ketoprofen,52,52,52,52,52,51,0,52
Ketorolac Trometamol,8,8,8,8,8,8,0,8
Ketotifen Fumarate,12,12,12,12,12,12,0,12
L-alanyl-l-gutamine,4,4,4,4,4,4,0,4
Labetalol Hydrochloride,25,25,25,25,25,25,0,25
Lachesine Chloride,2,2,2,2,2,2,0,2
Lacidipine,8,8,8,8,8,8,0,8
Lacosamide,15,15,15,15,15,15,0,15
Lactic Acid,9,9,9,9,9,6,0,9
Lactitol,3,3,3,3,3,3,0,3
Lactobacillus Acidophilus,2,2,2,2,2,2,0,2
Lactulose,18,18,18,18,18,10,0,18
Lamivudine,10,10,10,10,10,10,0,10
Lamivudine & Zidovudine,2,2,2,2,2,2,0,2
Lamivudine/Tenofovir Disop/Doravirine,2,2,2,2,2,1,0,2
Lamotrigine,62,62,62,62,62,61,0,62
Lanatoside C,4,4,4,4,4,4,0,4
Lanreotide,13,13,13,13,13,13,0,13
Lansoprazole,35,35,35,35,35,35,0,35
Lanthanum Carbonate,10,10,10,10,10,10,0,10
Lapatinib,2,2,2,2,2,2,0,2
Laronidase,2,2,2,2,2,2,0,2
Latamoxef Disodium,6,6,6,6,6,6,0,6
Latanoprost,5,5,5,5,5,5,0,5
Latanoprost & Timolol,5,5,5,5,5,5,0,5
Laureth 9,5,5,5,5,5,5,0,5
Lead,9,9,9,9,9,0,0,9
Leflunomide,7,7,7,7,7,7,0,7
Lenalidomide,14,14,14,14,14,14,0,14
Lenograstim,10,10,10,10,10,10,0,10
Lenvatinib,6,6,6,6,6,6,0,6
Lepirudin,2,2,2,2,2,2,0,2
Lercanidipine Hydrochloride,4,4,4,4,4,4,0,4
Letermovir,2,2,2,2,2,2,0,2
Letrozole,2,2,2,2,2,2,0,2
Leuprorelin Acetate,11,11,11,11,9,11,0,11
Levacetylmethadol Hydrochloride,2,2,2,2,2,2,0,2
Levamisole Hydrochloride,12,12,12,12,12,12,0,12
Levetiracetam,37,37,37,37,37,37,0,37
Levobunolol Hydrochloride,4,4,4,4,4,4,0,4
Levobupivacaine Hydrochloride,14,14,14,14,14,14,0,14
Levocabastine,6,6,6,6,6,6,0,6
Levocarnitine,21,21,21,21,21,21,0,21
Levocetirizine,4,4,4,4,4,4,0,4
Levodopa,16,16,16,16,16,15,0,16
Levodopa/Carbidopa/Entacapone,28,28,28,28,28,28,0,28
Levofloxacin,19,19,19,19,19,19,0,19
Levofolinic Acid,2,2,2,2,2,2,0,2
Levomepromazine Hydrochloride,5,5,5,5,5,5,0,5
Levomepromazine Maleate,26,26,26,26,26,26,0,26
Levomilnacipran,4,4,4,4,4,4,0,4
Levonorgestrel,25,25,25,25,25,24,0,25
Levorphanol Tartrate,6,6,6,6,6,6,0,6
Levothyroxine Sodium,193,193,193,193,193,192,0,193
Levothyroxine Sodium & Liothyronine,29,29,29,29,29,29,0,29
Levothyroxine Sodium & Potassium Iodide,2,2,2,2,2,1,0,2
Lidocaine,23,23,23,23,23,19,0,23
Lidocaine & Tetracaine,4,4,4,4,4,4,0,4
Lidocaine Hydrochloride,294,294,294,294,291,232,0,294
Lidocaine Hydrochloride Anhydrous,6,6,6,6,6,6,0,6
Lidocaine/Cetylpyridinium,2,2,2,2,1,1,0,2
Lidocaine/Prilocaine (Prem Ejaculation),3,3,3,3,3,3,0,3
Lidoflazine,2,2,2,2,2,2,0,2
Light Liquid Paraffin,26,26,26,26,26,8,0,26
Linaclotide,2,2,2,2,2,2,0,2
Linagliptin,2,2,2,2,2,2,0,2
Linagliptin/Metformin,4,4,4,4,4,4,0,4
Lincomycin Hydrochloride,6,6,6,6,6,6,0,6
Lindane,18,18,18,18,18,13,0,18
Linezolid,8,8,8,8,8,8,0,8
Liothyronine Sodium,33,33,33,33,33,32,0,33
Lipegfilgrastim,2,2,2,2,2,2,0,2
Liquefied Phenol,3,3,3,3,2,1,0,3
Liquid Paraffin,38,38,38,38,38,9,0,38
Liquorice,6,6,6,6,6,0,0,6
Liquorice Deglycyrrhizinised,3,3,3,3,3,0,0,3
Liraglutide,3,3,3,3,3,3,0,3
Lisdexamfetamine Dimesylate,21,21,21,21,21,21,0,21
Lisinopril,38,38,38,38,38,37,0,38
Lisinopril with Diuretic,10,10,10,10,10,6,0,10
Lisuride Maleate,2,2,2,2,2,2,0,2
Lithium Carbonate,21,21,21,21,21,20,0,21
Lithium Citrate,13,13,13,13,13,13,0,13
Liver Extracts,3,3,3,3,3,1,0,3
Lixisenatide,6,6,6,6,6,6,0,6
Lodoxamide Trometamol,5,5,5,5,5,5,0,5
Lofepramine Hydrochloride,15,15,15,15,15,14,0,15
Lofexidine Hydrochloride,2,2,2,2,2,2,0,2
Lomefloxacin,2,2,2,2,2,2,0,2
Lomitapide,6,6,6,6,6,6,0,6
Lomustine,8,8,8,8,8,8,0,8
Loperamide Hydrochloride,49,49,49,49,49,45,0,49
Loperamide Hydrochloride & Simeticone,5,5,5,5,5,1,0,5
Lopinavir & Ritonavir,9,9,9,9,9,8,0,9
Loprazolam Mesilate,2,2,2,2,2,2,0,2
Loratadine,22,22,22,22,22,16,0,22
Lorazepam,79,79,79,79,79,78,0,79
Lorlatinib,4,4,4,4,4,4,0,4
Lormetazepam,8,8,8,8,8,8,0,8
Lornoxicam,6,6,6,6,6,6,0,6
Losartan Potassium,18,18,18,18,18,18,0,18
Losartan Potassium With Diuretic,7,7,7,7,7,6,0,7
Loteprednol Etabonate,2,2,2,2,2,2,0,2
Lovastatin,7,7,7,7,7,7,0,7
Low Protein Biscuits,31,31,31,31,31,0,0,31
Low Protein Bread,21,21,21,21,21,1,0,21
Low Protein Cakes,5,5,5,5,5,0,0,5
Low Protein Cereals,3,3,3,3,3,0,0,3
Low Protein Cooking Aids,4,4,4,4,4,0,0,4
Low Protein Desserts,8,8,8,8,8,4,0,8
Low Protein Grains/Flours,5,5,5,5,5,0,0,5
Low Protein Meals,15,15,15,15,15,0,0,15
Low Protein Miscellaneous,2,2,2,2,2,0,0,2
Low Protein Mixes,26,26,26,26,26,6,0,26
Low Protein Pasta,12,12,12,12,12,0,0,12
Low Protein Risotto,2,2,2,2,2,0,0,2
Low Protein Snacks,6,6,6,6,6,0,0,6
Low Sodium Bread,2,2,2,2,2,0,0,2
Loxapine Succinate,6,6,6,6,6,6,0,6
Lubiprostone,2,2,2,2,2,2,0,2
Lumacaftor/Ivacaftor,8,8,8,8,8,8,0,8
Lumiracoxib,4,4,4,4,4,4,0,4
Lurasidone,6,6,6,6,6,6,0,6
Lutropin Alfa,2,2,2,2,2,2,0,2
Lymecycline,4,4,4,4,4,2,0,4
Lypressin,2,2,2,2,2,2,0,2
Lysine Aspirin,4,4,4,4,4,4,0,4
Macitentan,2,2,2,2,2,2,0,2
Macrogol,1,1,1,1,1,0,0,1
Macrogol 3350,38,38,38,38,38,24,0,38
Macrogol 4000,3,3,3,3,3,3,0,3
Mafenide,4,4,4,4,4,1,0,4
Mafenide Propionate,2,2,2,2,2,2,0,2
Magaldrate,3,3,3,3,3,3,0,3
